ALGOTYPE,BallMoveCnt,Bucket,DEMO,Hypothesis,RESPONSE,STEP_Num,hypIndex,posteriorScore
Sort,2,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",R,2,3,-12.194
Sort,3,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",G,3,3,-12.194
Sort,4,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",R,4,3,-12.194
Sort,5,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",G,5,3,-12.194
Sort,6,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",R,6,3,-12.194
Sort,7,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",G,7,3,-12.194
Sort,8,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",R,8,3,-12.194
Sort,9,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",G,9,3,-12.194
Sort,10,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","R/,/G,R/,/G,R/,/G,R/,/G,R/,/GR",R,9,3,-12.194
Sort,0,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,0,4,-12.9418
Sort,1,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,0,4,-12.9418
Sort,2,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,1,4,-12.9418
Sort,3,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,2,4,-12.9418
Sort,4,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,3,4,-12.9418
Sort,5,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,4,4,-12.9418
Sort,6,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,5,4,-12.9418
Sort,7,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,6,4,-12.9418
Sort,8,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,7,4,-12.9418
Sort,9,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,8,4,-12.9418
Sort,10,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","GR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,9,4,-12.9418
Sort,0,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",B,0,5,-13.0283
Sort,1,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,0,5,-13.0283
Sort,2,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,1,5,-13.0283
Sort,3,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,2,5,-13.0283
Sort,4,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,3,5,-13.0283
Sort,5,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,4,5,-13.0283
Sort,6,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,5,5,-13.0283
Sort,7,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,6,5,-13.0283
Sort,8,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,7,5,-13.0283
Sort,9,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,8,5,-13.0283
Sort,10,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","BR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,9,5,-13.0283
Sort,0,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,0,6,-13.2595
Sort,1,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,0,6,-13.2595
Sort,2,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,1,6,-13.2595
Sort,3,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,2,6,-13.2595
Sort,4,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,3,6,-13.2595
Sort,5,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,4,6,-13.2595
Sort,6,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,5,6,-13.2595
Sort,7,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,6,6,-13.2595
Sort,8,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,7,6,-13.2595
Sort,9,left,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",R,8,6,-13.2595
Sort,10,right,"R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G","RR/,/G,R/,/G,R/,/G,R/,/G,R/,/G",G,9,6,-13.2595
Double,0,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,0,0,-3.47494
Double,1,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,0,-3.47494
Double,2,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,0,-3.47494
Double,3,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,2,0,-3.47494
Double,4,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,0,-3.47494
Double,5,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,0,-3.47494
Double,6,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,4,0,-3.47494
Double,7,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,0,-3.47494
Double,8,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,0,-3.47494
Double,9,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,6,0,-3.47494
Double,10,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,0,-3.47494
Double,11,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,0,-3.47494
Double,12,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,8,0,-3.47494
Double,13,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,0,-3.47494
Double,14,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,0,-3.47494
Double,0,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",G,0,1,-8.99886
Double,1,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,1,1,-8.99886
Double,2,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,1,1,-8.99886
Double,3,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",G,2,1,-8.99886
Double,4,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,3,1,-8.99886
Double,5,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,3,1,-8.99886
Double,6,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",G,4,1,-8.99886
Double,7,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,5,1,-8.99886
Double,8,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,5,1,-8.99886
Double,9,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",G,6,1,-8.99886
Double,10,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,7,1,-8.99886
Double,11,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,7,1,-8.99886
Double,12,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",G,8,1,-8.99886
Double,13,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R",R,9,1,-8.99886
Double,0,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",B,0,2,-13.5063
Double,1,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,2,-13.5063
Double,2,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,2,-13.5063
Double,3,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,2,2,-13.5063
Double,4,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,2,-13.5063
Double,5,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,2,-13.5063
Double,6,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,4,2,-13.5063
Double,7,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,2,-13.5063
Double,8,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,2,-13.5063
Double,9,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,6,2,-13.5063
Double,10,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,2,-13.5063
Double,11,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,2,-13.5063
Double,12,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,8,2,-13.5063
Double,13,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,2,-13.5063
Double,14,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,2,-13.5063
Double,0,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,0,3,-13.794
Double,1,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,3,-13.794
Double,2,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,1,3,-13.794
Double,3,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,2,3,-13.794
Double,4,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,3,-13.794
Double,5,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,3,3,-13.794
Double,6,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,4,3,-13.794
Double,7,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,3,-13.794
Double,8,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,5,3,-13.794
Double,9,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,6,3,-13.794
Double,10,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,3,-13.794
Double,11,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,7,3,-13.794
Double,12,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",G,8,3,-13.794
Double,13,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,3,-13.794
Double,14,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","R/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR",R,9,3,-13.794
Double,0,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",G,0,4,-15.5857
Double,1,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,1,4,-15.5857
Double,2,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,1,4,-15.5857
Double,3,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,1,4,-15.5857
Double,4,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",G,2,4,-15.5857
Double,5,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,3,4,-15.5857
Double,6,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,3,4,-15.5857
Double,7,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,3,4,-15.5857
Double,8,left,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",G,4,4,-15.5857
Double,9,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,5,4,-15.5857
Double,10,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,5,4,-15.5857
Double,11,right,"G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR","G/,/RRR,G/,/RRR,G/,/RRR,G/,/RRR,G/,/RR",R,5,4,-15.5857
