target	set	yes	no
17	1,8,27	7	4
18	1,8,27	6	4
19	1,8,27	1	8
20	1,8,27	8	4
21	1,8,27	5	5
22	1,8,27	7	6
23	1,8,27	2	8
24	1,8,27	6	3
25	1,8,27	5	5
26	1,8,27	3	6
27	1,8,27	6	4
28	1,8,27	6	3
29	1,8,27	4	6
30	1,8,27	3	8
31	1,8,27	2	8
32	1,8,27	2	8
33	1,8,27	3	7
34	1,8,27	2	9
35	1,8,27	5	5
36	1,8,27	4	5
37	1,8,27	3	7
38	1,8,27	4	6
39	1,8,27	2	10
40	1,8,27	4	7
41	1,8,27	4	9
42	1,8,27	5	11
43	1,8,27	6	5
44	1,8,27	3	7
45	1,8,27	1	8
46	1,8,27	4	6
47	1,8,27	1	9
48	1,8,27	3	7
49	1,8,27	3	6
50	1,8,27	2	7
51	1,8,27	3	7
52	1,8,27	4	6
53	1,8,27	3	7
54	1,8,27	2	7
55	1,8,27	2	7
56	1,8,27	3	6
57	1,8,27	3	6
58	1,8,27	2	8
59	1,8,27	3	6
60	1,8,27	2	10
61	1,8,27	2	7
62	1,8,27	3	6
63	1,8,27	3	6
64	1,8,27	6	4
65	1,8,27	1	9
66	1,8,27	4	5
67	1,8,27	4	7
68	1,8,27	5	5
69	1,8,27	2	10
70	1,8,27	2	7
71	1,8,27	3	6
72	1,8,27	4	9
73	1,8,27	2	8
74	1,8,27	3	6
75	1,8,27	2	7
76	1,8,27	3	6
77	1,8,27	4	6
78	1,8,27	4	6
79	1,8,27	2	9
80	1,8,27	4	6
81	1,8,27	4	6
82	1,8,27	3	7
83	1,8,27	2	7
84	1,8,27	3	6
85	1,8,27	2	9
86	1,8,27	3	10
87	1,8,27	2	10
88	1,8,27	3	6
89	1,8,27	3	6
90	1,8,27	4	5
91	1,8,27	0	11
92	1,8,27	4	11
93	1,8,27	4	6
94	1,8,27	3	8
95	1,8,27	1	10
96	1,8,27	1	9
97	1,8,27	2	8
98	1,8,27	1	9
99	1,8,27	2	7
100	1,8,27	2	7
1	10	1	11
2	10	4	7
3	10	2	7
4	10	6	5
5	10	5	4
6	10	3	6
7	10	3	11
8	10	5	5
9	10	2	8
10	10	9	1
11	10	3	6
12	10	3	7
13	10	1	10
14	10	3	6
15	10	4	9
16	10	5	5
17	10	1	10
18	10	2	8
19	10	0	9
20	10	9	1
21	10	1	11
22	10	6	4
23	10	2	10
24	10	3	7
25	10	4	13
26	10	4	9
27	10	0	9
28	10	4	7
29	10	1	11
30	10	9	3
31	10	1	8
32	10	3	6
33	10	3	7
34	10	3	8
35	10	3	7
36	10	5	4
37	10	1	9
38	10	2	8
39	10	0	13
40	10	8	2
41	10	0	12
42	10	3	7
43	10	0	12
44	10	2	7
45	10	5	5
46	10	2	8
47	10	2	13
48	10	1	8
49	10	2	8
50	10	9	3
51	10	0	14
52	10	4	9
53	10	0	10
54	10	5	5
55	10	2	9
56	10	6	9
57	10	2	9
58	10	4	8
59	10	0	9
60	10	7	3
61	10	0	16
62	10	6	7
63	10	1	9
64	10	5	6
65	10	1	10
66	10	4	7
67	10	1	10
68	10	4	5
69	10	0	9
70	10	7	2
71	10	1	10
72	10	3	7
73	10	2	13
74	10	4	8
75	10	1	8
76	10	4	7
77	10	2	8
78	10	4	6
79	10	1	10
80	10	8	1
81	10	1	9
82	10	8	7
83	10	1	8
84	10	4	9
85	10	2	7
86	10	5	7
87	10	1	8
88	10	3	6
89	10	0	9
90	10	8	1
91	10	2	7
92	10	1	9
93	10	3	9
94	10	3	9
95	10	2	8
96	10	2	9
97	10	1	12
98	10	2	9
99	10	0	11
100	10	8	1
1	10,3	5	5
2	10,3	6	5
3	10,3	7	6
4	10,3	7	5
5	10,3	7	8
6	10,3	13	2
7	10,3	7	5
8	10,3	7	8
9	10,3	11	4
10	10,3	9	1
11	10,3	2	7
12	10,3	6	5
13	10,3	4	7
14	10,3	5	5
15	10,3	7	5
16	10,3	7	5
17	10,3	2	9
18	10,3	4	8
19	10,3	5	6
20	10,3	5	7
21	10,3	2	8
22	10,3	2	9
23	10,3	2	7
24	10,3	0	9
25	10,3	0	11
26	10,3	2	8
27	10,3	3	12
28	10,3	1	10
29	10,3	2	10
30	10,3	5	8
31	10,3	3	8
32	10,3	4	5
33	10,3	4	12
34	10,3	1	9
35	10,3	1	8
36	10,3	4	10
37	10,3	1	9
38	10,3	2	9
39	10,3	1	10
40	10,3	0	9
41	10,3	0	11
42	10,3	1	15
43	10,3	3	9
44	10,3	1	10
45	10,3	1	9
46	10,3	0	14
47	10,3	1	9
48	10,3	2	8
49	10,3	2	10
50	10,3	0	10
51	10,3	0	17
52	10,3	1	9
53	10,3	1	10
54	10,3	2	11
55	10,3	1	10
56	10,3	2	8
57	10,3	1	10
58	10,3	1	9
59	10,3	0	10
60	10,3	4	6
61	10,3	1	10
62	10,3	3	9
63	10,3	1	11
64	10,3	3	9
65	10,3	0	9
66	10,3	3	10
67	10,3	1	9
68	10,3	1	12
69	10,3	4	8
70	10,3	3	12
71	10,3	0	11
72	10,3	2	8
73	10,3	3	11
74	10,3	1	9
75	10,3	1	10
76	10,3	2	11
77	10,3	2	14
78	10,3	0	9
79	10,3	0	13
80	10,3	3	7
81	10,3	0	11
82	10,3	1	9
83	10,3	2	9
84	10,3	0	12
85	10,3	1	9
86	10,3	0	9
87	10,3	2	10
88	10,3	0	10
89	10,3	0	10
90	10,3	1	10
91	10,3	3	7
92	10,3	1	10
93	10,3	4	8
94	10,3	1	9
95	10,3	0	10
96	10,3	0	9
97	10,3	0	15
98	10,3	1	10
99	10,3	2	9
100	10,3	3	7
1	10,50,100	0	9
2	10,50,100	0	9
3	10,50,100	0	9
4	10,50,100	1	8
5	10,50,100	1	8
6	10,50,100	0	9
7	10,50,100	0	10
8	10,50,100	0	9
9	10,50,100	0	9
10	10,50,100	9	0
11	10,50,100	0	9
12	10,50,100	0	10
13	10,50,100	0	9
14	10,50,100	0	11
15	10,50,100	0	9
16	10,50,100	1	10
17	10,50,100	0	11
18	10,50,100	0	9
19	10,50,100	0	16
20	10,50,100	7	2
21	10,50,100	0	9
22	10,50,100	0	9
23	10,50,100	0	9
24	10,50,100	0	9
25	10,50,100	3	6
26	10,50,100	1	8
27	10,50,100	0	9
28	10,50,100	1	8
29	10,50,100	0	9
30	10,50,100	9	0
31	10,50,100	0	9
32	10,50,100	0	10
33	10,50,100	0	10
34	10,50,100	1	10
35	10,50,100	0	10
36	10,50,100	1	8
37	10,50,100	0	9
38	10,50,100	0	11
39	10,50,100	0	9
40	10,50,100	9	1
41	10,50,100	0	9
42	10,50,100	0	10
43	10,50,100	0	9
44	10,50,100	0	9
45	10,50,100	0	9
46	10,50,100	0	10
47	10,50,100	0	9
48	10,50,100	0	9
49	10,50,100	0	9
50	10,50,100	9	0
51	10,50,100	0	9
52	10,50,100	0	9
53	10,50,100	0	9
54	10,50,100	0	9
55	10,50,100	1	8
56	10,50,100	0	9
57	10,50,100	0	10
58	10,50,100	0	13
59	10,50,100	0	9
60	10,50,100	7	2
61	10,50,100	0	9
62	10,50,100	0	9
63	10,50,100	0	10
64	10,50,100	1	10
65	10,50,100	1	8
66	10,50,100	0	10
67	10,50,100	0	9
68	10,50,100	0	10
69	10,50,100	0	9
70	10,50,100	8	1
71	10,50,100	0	9
72	10,50,100	0	9
73	10,50,100	0	12
74	10,50,100	0	9
75	10,50,100	1	9
76	10,50,100	1	9
77	10,50,100	0	9
78	10,50,100	0	14
79	10,50,100	0	11
80	10,50,100	7	2
81	10,50,100	0	10
82	10,50,100	0	9
83	10,50,100	0	10
84	10,50,100	0	9
85	10,50,100	1	8
86	10,50,100	0	9
87	10,50,100	0	10
88	10,50,100	0	9
89	10,50,100	0	13
90	10,50,100	9	0
91	10,50,100	0	9
92	10,50,100	0	9
93	10,50,100	0	11
94	10,50,100	0	9
95	10,50,100	1	10
96	10,50,100	0	9
97	10,50,100	0	11
98	10,50,100	0	9
99	10,50,100	0	9
100	10,50,100	7	2
1	10,55,58	2	8
2	10,55,58	4	5
3	10,55,58	2	13
4	10,55,58	1	8
5	10,55,58	7	3
6	10,55,58	1	9
7	10,55,58	4	5
8	10,55,58	2	8
9	10,55,58	2	7
10	10,55,58	5	4
11	10,55,58	4	8
12	10,55,58	7	5
13	10,55,58	4	6
14	10,55,58	4	7
15	10,55,58	6	3
16	10,55,58	6	4
17	10,55,58	2	7
18	10,55,58	9	4
19	10,55,58	3	7
20	10,55,58	8	3
21	10,55,58	5	6
22	10,55,58	3	9
23	10,55,58	5	7
24	10,55,58	6	3
25	10,55,58	7	5
26	10,55,58	4	6
27	10,55,58	3	7
28	10,55,58	5	5
29	10,55,58	3	7
30	10,55,58	5	5
31	10,55,58	2	7
32	10,55,58	3	6
33	10,55,58	2	9
34	10,55,58	6	3
35	10,55,58	6	4
36	10,55,58	2	7
37	10,55,58	6	6
38	10,55,58	6	3
39	10,55,58	4	8
40	10,55,58	5	5
41	10,55,58	4	6
42	10,55,58	5	4
43	10,55,58	4	11
44	10,55,58	1	9
45	10,55,58	4	5
46	10,55,58	5	8
47	10,55,58	5	5
48	10,55,58	8	5
49	10,55,58	3	8
50	10,55,58	5	5
51	10,55,58	3	7
52	10,55,58	4	6
53	10,55,58	3	7
54	10,55,58	5	5
55	10,55,58	5	5
56	10,55,58	2	8
57	10,55,58	6	4
58	10,55,58	8	4
59	10,55,58	6	4
60	10,55,58	3	7
61	10,55,58	3	6
62	10,55,58	3	9
63	10,55,58	4	9
64	10,55,58	4	7
65	10,55,58	7	3
66	10,55,58	6	6
67	10,55,58	1	9
68	10,55,58	5	4
69	10,55,58	3	9
70	10,55,58	7	4
71	10,55,58	1	10
72	10,55,58	1	8
73	10,55,58	5	7
74	10,55,58	2	10
75	10,55,58	5	5
76	10,55,58	3	6
77	10,55,58	3	7
78	10,55,58	4	5
79	10,55,58	3	8
80	10,55,58	4	5
81	10,55,58	1	8
82	10,55,58	2	8
83	10,55,58	3	10
84	10,55,58	5	5
85	10,55,58	3	7
86	10,55,58	4	8
87	10,55,58	1	8
88	10,55,58	6	6
89	10,55,58	1	11
90	10,55,58	7	6
91	10,55,58	3	7
92	10,55,58	2	7
93	10,55,58	3	8
94	10,55,58	0	9
95	10,55,58	1	8
96	10,55,58	2	11
97	10,55,58	3	8
98	10,55,58	4	6
99	10,55,58	4	5
100	10,55,58	4	9
1	10,66,29	2	8
2	10,66,29	2	11
3	10,66,29	2	7
4	10,66,29	2	10
5	10,66,29	3	8
6	10,66,29	4	7
7	10,66,29	1	9
8	10,66,29	2	8
9	10,66,29	7	3
10	10,66,29	7	4
11	10,66,29	8	7
12	10,66,29	4	6
13	10,66,29	5	6
14	10,66,29	4	8
15	10,66,29	4	5
16	10,66,29	14	4
17	10,66,29	2	11
18	10,66,29	5	6
19	10,66,29	9	2
20	10,66,29	5	6
21	10,66,29	4	6
22	10,66,29	5	10
23	10,66,29	5	5
24	10,66,29	6	6
25	10,66,29	5	5
26	10,66,29	12	0
27	10,66,29	7	6
28	10,66,29	4	7
29	10,66,29	7	3
30	10,66,29	7	2
31	10,66,29	5	5
32	10,66,29	9	9
33	10,66,29	6	5
34	10,66,29	4	5
35	10,66,29	4	9
36	10,66,29	11	1
37	10,66,29	5	5
38	10,66,29	6	3
39	10,66,29	6	6
40	10,66,29	2	8
41	10,66,29	7	3
42	10,66,29	4	6
43	10,66,29	3	7
44	10,66,29	6	8
45	10,66,29	5	4
46	10,66,29	6	3
47	10,66,29	4	9
48	10,66,29	6	6
49	10,66,29	10	3
50	10,66,29	7	3
51	10,66,29	5	4
52	10,66,29	5	4
53	10,66,29	6	4
54	10,66,29	3	6
55	10,66,29	10	6
56	10,66,29	7	5
57	10,66,29	9	5
58	10,66,29	2	8
59	10,66,29	8	2
60	10,66,29	9	0
61	10,66,29	6	4
62	10,66,29	3	7
63	10,66,29	4	7
64	10,66,29	6	4
65	10,66,29	4	9
66	10,66,29	9	2
67	10,66,29	1	9
68	10,66,29	3	6
69	10,66,29	6	3
70	10,66,29	8	7
71	10,66,29	3	9
72	10,66,29	2	8
73	10,66,29	1	9
74	10,66,29	5	5
75	10,66,29	5	6
76	10,66,29	4	5
77	10,66,29	8	2
78	10,66,29	2	7
79	10,66,29	6	7
80	10,66,29	6	4
81	10,66,29	3	7
82	10,66,29	3	8
83	10,66,29	3	8
84	10,66,29	4	8
85	10,66,29	3	11
86	10,66,29	5	7
87	10,66,29	4	6
88	10,66,29	5	6
89	10,66,29	5	6
90	10,66,29	8	4
91	10,66,29	3	7
92	10,66,29	3	10
93	10,66,29	2	8
94	10,66,29	2	8
95	10,66,29	6	7
96	10,66,29	5	5
97	10,66,29	3	7
98	10,66,29	4	8
99	10,66,29	6	8
100	10,66,29	4	6
1	10,74,22	2	9
2	10,74,22	6	4
3	10,74,22	1	8
4	10,74,22	6	4
5	10,74,22	0	9
6	10,74,22	10	5
7	10,74,22	2	8
8	10,74,22	5	4
9	10,74,22	1	8
10	10,74,22	9	3
11	10,74,22	1	9
12	10,74,22	10	1
13	10,74,22	3	7
14	10,74,22	8	2
15	10,74,22	3	7
16	10,74,22	7	5
17	10,74,22	0	9
18	10,74,22	7	2
19	10,74,22	0	10
20	10,74,22	8	3
21	10,74,22	2	8
22	10,74,22	5	4
23	10,74,22	5	5
24	10,74,22	10	3
25	10,74,22	0	12
26	10,74,22	8	3
27	10,74,22	2	11
28	10,74,22	7	5
29	10,74,22	3	8
30	10,74,22	7	2
31	10,74,22	1	9
32	10,74,22	10	4
33	10,74,22	3	6
34	10,74,22	8	1
35	10,74,22	3	7
36	10,74,22	8	2
37	10,74,22	4	8
38	10,74,22	5	4
39	10,74,22	2	8
40	10,74,22	8	4
41	10,74,22	2	8
42	10,74,22	8	1
43	10,74,22	1	10
44	10,74,22	8	1
45	10,74,22	0	10
46	10,74,22	9	4
47	10,74,22	3	6
48	10,74,22	7	3
49	10,74,22	1	9
50	10,74,22	7	4
51	10,74,22	0	10
52	10,74,22	10	5
53	10,74,22	3	7
54	10,74,22	12	2
55	10,74,22	3	8
56	10,74,22	8	2
57	10,74,22	1	9
58	10,74,22	10	3
59	10,74,22	3	8
60	10,74,22	7	4
61	10,74,22	3	7
62	10,74,22	8	1
63	10,74,22	2	9
64	10,74,22	10	2
65	10,74,22	0	11
66	10,74,22	7	2
67	10,74,22	2	7
68	10,74,22	7	4
69	10,74,22	2	10
70	10,74,22	7	3
71	10,74,22	2	7
72	10,74,22	7	3
73	10,74,22	3	7
74	10,74,22	9	1
75	10,74,22	2	13
76	10,74,22	12	1
77	10,74,22	1	8
78	10,74,22	8	5
79	10,74,22	1	10
80	10,74,22	9	3
81	10,74,22	1	11
82	10,74,22	9	1
83	10,74,22	3	8
84	10,74,22	10	5
85	10,74,22	2	9
86	10,74,22	7	4
87	10,74,22	2	9
88	10,74,22	8	3
89	10,74,22	0	10
90	10,74,22	8	4
91	10,74,22	2	9
92	10,74,22	9	2
93	10,74,22	0	11
94	10,74,22	9	3
95	10,74,22	0	13
96	10,74,22	10	4
97	10,74,22	2	8
98	10,74,22	9	1
99	10,74,22	1	8
100	10,74,22	7	4
1	10,80	2	7
2	10,80	1	9
3	10,80	0	13
4	10,80	2	9
5	10,80	1	9
6	10,80	1	9
7	10,80	0	10
8	10,80	4	5
9	10,80	0	10
10	10,80	7	4
11	10,80	1	8
12	10,80	1	8
13	10,80	0	9
14	10,80	1	9
15	10,80	2	8
16	10,80	1	9
17	10,80	0	9
18	10,80	2	8
19	10,80	1	8
20	10,80	5	4
21	10,80	0	10
22	10,80	1	8
23	10,80	0	10
24	10,80	2	10
25	10,80	1	9
26	10,80	2	8
27	10,80	0	9
28	10,80	2	11
29	10,80	1	9
30	10,80	10	3
31	10,80	1	9
32	10,80	2	7
33	10,80	2	12
34	10,80	1	8
35	10,80	1	9
36	10,80	0	9
37	10,80	0	11
38	10,80	1	8
39	10,80	1	9
40	10,80	9	2
41	10,80	1	9
42	10,80	2	8
43	10,80	1	10
44	10,80	1	9
45	10,80	2	7
46	10,80	2	8
47	10,80	0	9
48	10,80	0	9
49	10,80	1	8
50	10,80	8	1
51	10,80	0	9
52	10,80	1	8
53	10,80	0	9
54	10,80	1	8
55	10,80	1	8
56	10,80	1	9
57	10,80	0	9
58	10,80	2	8
59	10,80	0	10
60	10,80	9	0
61	10,80	0	9
62	10,80	2	7
63	10,80	1	8
64	10,80	1	8
65	10,80	2	8
66	10,80	2	9
67	10,80	1	11
68	10,80	1	10
69	10,80	0	12
70	10,80	8	2
71	10,80	1	8
72	10,80	0	9
73	10,80	0	9
74	10,80	0	9
75	10,80	0	9
76	10,80	2	8
77	10,80	1	8
78	10,80	0	9
79	10,80	1	9
80	10,80	8	4
81	10,80	0	11
82	10,80	1	8
83	10,80	1	9
84	10,80	0	10
85	10,80	0	9
86	10,80	1	9
87	10,80	1	8
88	10,80	1	9
89	10,80	0	11
90	10,80	7	3
91	10,80	0	9
92	10,80	1	9
93	10,80	1	9
94	10,80	2	10
95	10,80	2	10
96	10,80	0	9
97	10,80	0	9
98	10,80	0	9
99	10,80	0	11
100	10,80	7	2
1	100	4	6
2	100	5	5
3	100	2	10
4	100	2	7
5	100	6	7
6	100	4	8
7	100	2	8
8	100	3	6
9	100	2	13
10	100	8	3
11	100	1	8
12	100	2	8
13	100	2	10
14	100	5	7
15	100	1	8
16	100	3	11
17	100	1	15
18	100	3	13
19	100	1	9
20	100	7	5
21	100	2	9
22	100	3	9
23	100	1	8
24	100	4	6
25	100	5	5
26	100	4	5
27	100	1	9
28	100	2	8
29	100	2	7
30	100	5	4
31	100	2	9
32	100	3	8
33	100	3	13
34	100	2	8
35	100	4	11
36	100	3	7
37	100	2	9
38	100	4	9
39	100	2	13
40	100	6	5
41	100	1	9
42	100	2	7
43	100	1	10
44	100	2	10
45	100	5	14
46	100	1	11
47	100	1	9
48	100	4	7
49	100	3	6
50	100	6	4
51	100	2	9
52	100	2	7
53	100	1	8
54	100	4	9
55	100	4	6
56	100	2	7
57	100	1	10
58	100	3	10
59	100	2	9
60	100	6	4
61	100	2	11
62	100	3	8
63	100	0	12
64	100	1	8
65	100	3	8
66	100	4	7
67	100	1	10
68	100	3	9
69	100	1	8
70	100	5	5
71	100	3	9
72	100	3	7
73	100	1	10
74	100	6	6
75	100	1	8
76	100	4	6
77	100	1	8
78	100	1	8
79	100	4	11
80	100	8	6
81	100	4	6
82	100	4	6
83	100	3	7
84	100	4	5
85	100	4	7
86	100	3	6
87	100	2	12
88	100	4	8
89	100	0	10
90	100	10	1
91	100	4	7
92	100	4	7
93	100	3	6
94	100	4	7
95	100	5	6
96	100	7	9
97	100	3	8
98	100	5	5
99	100	4	7
100	100	9	2
1	100,1,16	10	3
2	100,1,16	4	6
3	100,1,16	2	9
4	100,1,16	4	6
5	100,1,16	1	8
6	100,1,16	3	7
7	100,1,16	3	6
8	100,1,16	6	7
9	100,1,16	4	5
10	100,1,16	5	5
11	100,1,16	4	5
12	100,1,16	7	2
13	100,1,16	3	7
14	100,1,16	5	5
15	100,1,16	7	4
16	100,1,16	10	0
17	100,1,16	5	5
18	100,1,16	2	7
19	100,1,16	6	3
20	100,1,16	3	7
21	100,1,16	3	8
22	100,1,16	2	7
23	100,1,16	5	5
24	100,1,16	3	6
25	100,1,16	3	11
26	100,1,16	2	8
27	100,1,16	2	7
28	100,1,16	2	8
29	100,1,16	3	8
30	100,1,16	3	6
31	100,1,16	4	5
32	100,1,16	5	5
33	100,1,16	0	9
34	100,1,16	2	7
35	100,1,16	5	11
36	100,1,16	5	5
37	100,1,16	2	7
38	100,1,16	3	7
39	100,1,16	2	13
40	100,1,16	6	3
41	100,1,16	5	4
42	100,1,16	2	8
43	100,1,16	3	9
44	100,1,16	3	8
45	100,1,16	2	7
46	100,1,16	4	6
47	100,1,16	3	8
48	100,1,16	3	6
49	100,1,16	4	5
50	100,1,16	6	3
51	100,1,16	4	5
52	100,1,16	2	9
53	100,1,16	4	6
54	100,1,16	1	8
55	100,1,16	0	10
56	100,1,16	3	8
57	100,1,16	3	7
58	100,1,16	3	8
59	100,1,16	3	7
60	100,1,16	3	6
61	100,1,16	8	5
62	100,1,16	3	6
63	100,1,16	3	7
64	100,1,16	6	5
65	100,1,16	4	7
66	100,1,16	2	7
67	100,1,16	3	7
68	100,1,16	3	8
69	100,1,16	4	12
70	100,1,16	7	5
71	100,1,16	6	7
72	100,1,16	2	8
73	100,1,16	1	8
74	100,1,16	4	6
75	100,1,16	2	8
76	100,1,16	3	9
77	100,1,16	2	10
78	100,1,16	4	6
79	100,1,16	1	8
80	100,1,16	6	6
81	100,1,16	4	5
82	100,1,16	5	5
83	100,1,16	3	6
84	100,1,16	4	6
85	100,1,16	4	7
86	100,1,16	5	6
87	100,1,16	2	7
88	100,1,16	1	8
89	100,1,16	2	8
90	100,1,16	3	6
91	100,1,16	4	5
92	100,1,16	4	6
93	100,1,16	1	8
94	100,1,16	4	7
95	100,1,16	1	8
96	100,1,16	2	7
97	100,1,16	4	5
98	100,1,16	2	8
99	100,1,16	1	9
100	100,1,16	9	1
1	11	5	9
2	11	0	12
3	11	2	7
4	11	0	10
5	11	5	5
6	11	1	10
7	11	4	8
8	11	2	7
9	11	5	7
10	11	3	6
11	11	7	2
12	11	6	3
13	11	4	6
14	11	2	8
15	11	3	6
16	11	2	11
17	11	3	7
18	11	2	7
19	11	4	7
20	11	0	13
21	11	6	6
22	11	9	2
23	11	4	8
24	11	1	9
25	11	2	7
26	11	1	8
27	11	3	6
28	11	1	8
29	11	2	8
30	11	1	9
31	11	3	7
32	11	1	8
33	11	5	4
34	11	1	9
35	11	3	6
36	11	2	7
37	11	4	7
38	11	1	9
39	11	2	8
40	11	1	9
41	11	6	4
42	11	0	9
43	11	1	8
44	11	3	7
45	11	4	5
46	11	0	9
47	11	4	7
48	11	0	10
49	11	3	8
50	11	1	10
51	11	5	5
52	11	1	11
53	11	2	8
54	11	1	10
55	11	8	1
56	11	1	9
57	11	2	8
58	11	1	8
59	11	3	8
60	11	0	9
61	11	4	5
62	11	0	10
63	11	1	11
64	11	0	10
65	11	4	6
66	11	12	3
67	11	0	10
68	11	0	10
69	11	1	11
70	11	0	10
71	11	4	9
72	11	0	10
73	11	4	7
74	11	0	11
75	11	3	7
76	11	1	9
77	11	7	5
78	11	0	11
79	11	3	8
80	11	0	16
81	11	4	5
82	11	1	12
83	11	2	8
84	11	1	9
85	11	0	9
86	11	0	9
87	11	4	6
88	11	8	5
89	11	2	7
90	11	0	9
91	11	5	9
92	11	2	10
93	11	0	13
94	11	0	9
95	11	3	9
96	11	0	11
97	11	5	11
98	11	2	9
99	11	8	2
100	11	0	9
1	11,26,74,2	3	9
2	11,26,74,2	7	5
3	11,26,74,2	3	7
4	11,26,74,2	6	4
5	11,26,74,2	5	4
6	11,26,74,2	7	5
7	11,26,74,2	5	5
8	11,26,74,2	8	3
9	11,26,74,2	7	9
10	11,26,74,2	5	7
11	11,26,74,2	6	4
12	11,26,74,2	6	4
13	11,26,74,2	5	4
14	11,26,74,2	5	4
15	11,26,74,2	4	7
16	11,26,74,2	7	2
17	11,26,74,2	6	3
18	11,26,74,2	4	5
19	11,26,74,2	5	4
20	11,26,74,2	7	3
21	11,26,74,2	6	4
22	11,26,74,2	6	5
23	11,26,74,2	4	9
24	11,26,74,2	3	6
25	11,26,74,2	4	5
26	11,26,74,2	6	5
27	11,26,74,2	4	5
28	11,26,74,2	7	5
29	11,26,74,2	8	1
30	11,26,74,2	4	5
31	11,26,74,2	6	4
32	11,26,74,2	4	5
33	11,26,74,2	3	7
34	11,26,74,2	4	5
35	11,26,74,2	5	5
36	11,26,74,2	9	1
37	11,26,74,2	5	11
38	11,26,74,2	4	6
39	11,26,74,2	3	6
40	11,26,74,2	7	2
41	11,26,74,2	8	4
42	11,26,74,2	7	3
43	11,26,74,2	6	4
44	11,26,74,2	6	4
45	11,26,74,2	3	6
46	11,26,74,2	4	5
47	11,26,74,2	4	5
48	11,26,74,2	4	5
49	11,26,74,2	5	5
50	11,26,74,2	6	5
51	11,26,74,2	4	7
52	11,26,74,2	9	3
53	11,26,74,2	3	9
54	11,26,74,2	4	5
55	11,26,74,2	4	6
56	11,26,74,2	6	4
57	11,26,74,2	7	7
58	11,26,74,2	4	5
59	11,26,74,2	5	4
60	11,26,74,2	7	3
61	11,26,74,2	4	6
62	11,26,74,2	3	7
63	11,26,74,2	6	4
64	11,26,74,2	4	6
65	11,26,74,2	4	5
66	11,26,74,2	4	6
67	11,26,74,2	6	4
68	11,26,74,2	3	6
69	11,26,74,2	4	5
70	11,26,74,2	4	6
71	11,26,74,2	4	6
72	11,26,74,2	2	7
73	11,26,74,2	2	9
74	11,26,74,2	3	6
75	11,26,74,2	2	7
76	11,26,74,2	3	8
77	11,26,74,2	3	6
78	11,26,74,2	5	6
79	11,26,74,2	2	7
80	11,26,74,2	8	6
81	11,26,74,2	2	8
82	11,26,74,2	4	6
83	11,26,74,2	3	6
84	11,26,74,2	6	5
85	11,26,74,2	2	7
86	11,26,74,2	2	7
87	11,26,74,2	4	5
88	11,26,74,2	2	8
89	11,26,74,2	4	5
90	11,26,74,2	4	5
91	11,26,74,2	2	8
92	11,26,74,2	4	7
93	11,26,74,2	2	8
94	11,26,74,2	3	6
95	11,26,74,2	4	5
96	11,26,74,2	7	5
97	11,26,74,2	1	9
98	11,26,74,2	6	9
99	11,26,74,2	1	10
100	11,26,74,2	4	7
1	11,41,38,92	3	7
2	11,41,38,92	1	8
3	11,41,38,92	1	9
4	11,41,38,92	2	10
5	11,41,38,92	3	8
6	11,41,38,92	1	8
7	11,41,38,92	2	7
8	11,41,38,92	5	10
9	11,41,38,92	1	8
10	11,41,38,92	0	9
11	11,41,38,92	6	3
12	11,41,38,92	8	3
13	11,41,38,92	5	5
